category,MAE_Unity,MAE_Gazebo,MNE_Unity,MNE_Gazebo,Accuracy_Unity(%),Accuracy_Gazebo(%)
fast,0.06688410484185699,0.13071109714189982,0.025317907210402234,0.047791747184146846,97.87101282002837,95.83933655458034
other,0.08511996484510771,0.11142274381798432,0.031647023200270887,0.03848885127848175,97.29054736781855,96.45330390970118
slow,0.1624027314784969,0.2843821084571129,0.05849129869429907,0.10093251683722437,94.83056050271429,90.947836342431
static,0.19778424818867815,0.3223908251306139,0.07279513783869727,0.11824377995945945,93.70433184701153,89.73798131459759
