experiment,category,joint,MAE_Unity,MAE_Gazebo,MNE_Unity,MNE_Gazebo,Accuracy_Unity(%),Accuracy_Gazebo(%)
fast1_20250728_065921.csv,fast,panda_joint1,0.008963212288927762,0.0007450580884731212,0.003093643146697878,0.0002571560033386675,99.71469209164702,99.97628406446579
fast1_20250728_065921.csv,fast,panda_joint2,0.05049287560486992,0.010009636730849297,0.02864356455915017,0.005678260001616347,98.39276185131216,99.68138336714622
fast1_20250728_065921.csv,fast,panda_joint3,0.007487764032122999,0.0003700305223993481,0.002584393756988575,0.00012771563952623067,99.7616570683164,99.98822156265305
fast1_20250728_065921.csv,fast,panda_joint4,0.04043841313450652,0.007646496515398182,0.013164402999709135,0.0024892559787089595,98.71280533177021,99.75660445644789
fast1_20250728_065921.csv,fast,panda_joint5,0.10237552534375012,0.26309063193633964,0.03533480321117942,0.09080545056995812,96.74128581798252,91.62556508923223
fast1_20250728_065921.csv,fast,panda_joint6,0.0013911197031733608,0.0015556565607222426,0.00037071810877371375,0.00041456537261085746,99.95571928456148,99.95048191372155
fast1_20250728_065921.csv,fast,panda_joint7,0.23870153132553967,0.6794851904785456,0.08238757854745442,0.23452358764316628,92.4018942731871,78.37131463552028
fast1_20250728_070807.csv,fast,panda_joint1,0.0175636794850374,0.02193945533564108,0.0060620852121069276,0.007572379572581742,99.44093071821491,99.30164544691777
fast1_20250728_070807.csv,fast,panda_joint2,0.13571989753214034,0.24982219058011335,0.07699109231457928,0.14171896447703278,95.67990148636687,92.04791269502589
fast1_20250728_070807.csv,fast,panda_joint3,0.017012005945075768,0.028854975889548915,0.005871675679106674,0.009959264104355405,99.4584910323865,99.08151759087616
fast1_20250728_070807.csv,fast,panda_joint4,0.046836696976639516,0.10598324396285382,0.015247313294042423,0.03450200011812417,98.50914163161411,96.62644856767952
fast1_20250728_070807.csv,fast,panda_joint5,0.061046622440517805,0.08328822194764272,0.021070176523148382,0.028746840833756507,98.05682565590539,97.34885355513956
fast1_20250728_070807.csv,fast,panda_joint6,0.10528714451857624,0.2274211270373414,0.028057866627202194,0.06060523038969791,96.64860610116757,92.76096069369545
fast1_20250728_070807.csv,fast,panda_joint7,0.10306097945512031,0.1497434444007286,0.03557138696549212,0.05168378987358181,96.71946713596506,95.23351812560354
slow1_20250728_064855.csv,slow,panda_joint1,0.1698615408506981,0.3928055980311237,0.05862752937241504,0.1355764325513836,94.5931392264811,87.49660947983571
slow1_20250728_064855.csv,slow,panda_joint2,0.11592116068922381,0.09391212197577398,0.06575967817632393,0.05327440547752098,96.31011485347203,97.01068431426131
slow1_20250728_064855.csv,slow,panda_joint3,0.0899014518253118,0.10029167845627392,0.031029390061544128,0.03461556568400715,97.13834791017275,96.80761672454021
slow1_20250728_064855.csv,slow,panda_joint4,0.09307435176885857,0.10074016736361001,0.030299613180825108,0.03279515833179569,97.03735136818246,96.79334087923533
slow1_20250728_064855.csv,slow,panda_joint5,0.06803273182735187,0.11266275279196751,0.023481424715201003,0.03888542877574552,97.83445088752633,96.41383319816363
slow1_20250728_064855.csv,slow,panda_joint6,0.057018533284005364,0.08456946141672016,0.015194812334178645,0.022536831823243213,98.18504371600015,97.30807043618194
slow1_20250728_064855.csv,slow,panda_joint7,0.15206951764417728,0.4448041022694958,0.052486631568763084,0.15352366074258647,95.1594769146658,85.84144568325137
slow2_20250728_065133.csv,slow,panda_joint1,0.12193686966905824,0.35864536479927134,0.042086380308928396,0.12378606454259874,96.11862888940344,88.58396347503998
slow2_20250728_065133.csv,slow,panda_joint2,0.19197611775440723,0.31869495659085945,0.10890408313728571,0.1807890609206146,93.88921038075885,89.85562446402155
slow2_20250728_065133.csv,slow,panda_joint3,0.11655951312517131,0.23168053398566343,0.04023039144209136,0.07996428881567785,96.28979546434887,92.62537955960237
slow2_20250728_065133.csv,slow,panda_joint4,0.29466784265377355,0.6022716441443257,0.09592676692941388,0.19606473212589545,90.62043125428542,80.82909815006953
slow2_20250728_065133.csv,slow,panda_joint5,0.05731502571630528,0.11194436348497593,0.019782219900012176,0.03863747747384666,98.17560606876218,96.43670024001804
slow2_20250728_065133.csv,slow,panda_joint6,0.21390566026767605,0.27359110723293567,0.057003507066669165,0.07290902258039592,93.19117136261275,91.29132457957868
slow2_20250728_065133.csv,slow,panda_joint7,0.3100748350385296,0.5887039125819942,0.10702199808046443,0.2031905265529956,90.1300114550428,81.26097245900732
slow3_20250728_065324.csv,slow,panda_joint1,0.17180314897670046,0.3791020754814984,0.059297673343009165,0.13084667638197575,94.53133592032097,87.93280615014454
slow3_20250728_065324.csv,slow,panda_joint2,0.16235019760454542,0.21534142368847065,0.09209791105317984,0.12215873819404961,94.83223270785813,93.14546959350675
slow3_20250728_065324.csv,slow,panda_joint3,0.15582285705682972,0.16537448747383746,0.053782092657588,0.05707882769262329,95.04000441054075,94.73596657145
slow3_20250728_065324.csv,slow,panda_joint4,0.23230312890363794,0.4307115929866037,0.07562443157225013,0.14021472523816775,92.60556174785447,86.2900241858395
slow3_20250728_065324.csv,slow,panda_joint5,0.09420507800959206,0.14695051772366688,0.03251478204176028,0.05071981421449863,97.00135923408317,95.32241974287304
slow3_20250728_065324.csv,slow,panda_joint6,0.2515468327361405,0.39079247545863377,0.06703446575246914,0.10414189885639807,91.9930156301866,87.56068916152805
slow3_20250728_065324.csv,slow,panda_joint7,0.29011096564644095,0.4284339396616697,0.10013148988590789,0.1478735166056914,90.76548115444118,86.36252414290209
