time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
898.318000000,0.457040,1.141225,-0.162364,-1.143697,0.073646,2.414770,2.314367
898.322000000,0.456784,1.141129,-0.162370,-1.143590,0.012692,2.414566,2.378787
898.351000000,0.457028,1.141232,-0.162366,-1.143700,0.073649,2.414773,2.314375
898.356000000,0.456710,1.141082,-0.162369,-1.143561,0.001042,2.414522,2.393469
898.387000000,0.457030,1.141229,-0.162364,-1.143700,0.073648,2.414766,2.314374
898.398000000,0.456665,1.141053,-0.162371,-1.143526,-0.013838,2.414468,2.416371
898.418000000,0.457035,1.141232,-0.162361,-1.143697,0.073649,2.414768,2.314374
898.432000000,0.456628,1.141019,-0.162372,-1.143502,-0.027039,2.414411,2.439467
898.452000000,0.457027,1.141227,-0.162361,-1.143700,0.073649,2.414769,2.314371
898.466000000,0.456603,1.141014,-0.162370,-1.143458,-0.040682,2.414353,2.466113
898.486000000,0.457038,1.141231,-0.162364,-1.143700,0.073647,2.414772,2.314377
898.502000000,0.456660,1.140975,-0.162453,-1.143539,-0.054296,2.414602,2.495123
898.519000000,0.457033,1.141231,-0.162366,-1.143695,0.073647,2.414771,2.314376
898.535000000,0.457286,1.141437,-0.162227,-1.143762,-0.024730,2.414513,2.450100
898.553000000,0.457027,1.141230,-0.162366,-1.143697,0.073646,2.414773,2.314369
898.570000000,0.457533,1.141612,-0.162119,-1.143876,-0.002247,2.414761,2.412279
898.586000000,0.457032,1.141225,-0.162363,-1.143700,0.073646,2.414768,2.314374
898.603000000,0.457394,1.141574,-0.162043,-1.143766,0.009697,2.414508,2.391424
898.621000000,0.457030,1.141232,-0.162364,-1.143700,0.073648,2.414772,2.314372
898.638000000,0.457314,1.141446,-0.162226,-1.143787,0.019160,2.414782,2.373813
898.655000000,0.457030,1.141232,-0.162364,-1.143702,0.073647,2.414768,2.314377
898.672000000,0.457130,1.141295,-0.162316,-1.143737,0.024492,2.414816,2.365010
898.689000000,0.457040,1.141225,-0.162361,-1.143697,0.073649,2.414768,2.314377
898.706000000,0.456994,1.141167,-0.162416,-1.143703,0.027963,2.414839,2.361365
898.722000000,0.457036,1.141225,-0.162361,-1.143700,0.073648,2.414771,2.314368
898.740000000,0.456908,1.141107,-0.162483,-1.143658,0.030265,2.414863,2.362110
898.749000000,0.457033,1.141227,-0.162363,-1.143700,0.073648,2.414766,2.314370
898.774000000,0.456862,1.141062,-0.162502,-1.143654,0.031716,2.414888,2.366843
898.775000000,0.457038,1.141230,-0.162364,-1.143697,0.073648,2.414769,2.314376
898.807000000,0.457024,1.141231,-0.162366,-1.143697,0.073647,2.414767,2.314372
898.808000000,0.456868,1.141048,-0.162512,-1.143663,0.032650,2.414889,2.375205
898.841000000,0.456791,1.141064,-0.162392,-1.143585,0.032096,2.414620,2.385798
898.843000000,0.457035,1.141230,-0.162366,-1.143700,0.073648,2.414767,2.314376
898.875000000,0.456732,1.141021,-0.162531,-1.143580,0.022520,2.414716,2.403268
898.878000000,0.457041,1.141230,-0.162364,-1.143697,0.073647,2.414771,2.314374
898.909000000,0.456875,1.141103,-0.162422,-1.143629,0.026667,2.414679,2.404144
898.913000000,0.457022,1.141225,-0.162366,-1.143695,0.073648,2.414769,2.314376
898.944000000,0.457041,1.141186,-0.162431,-1.143725,0.030106,2.414918,2.404670
898.948000000,0.457040,1.141225,-0.162366,-1.143697,0.073648,2.414767,2.314375
898.979000000,0.457016,1.141240,-0.162321,-1.143648,0.031005,2.414640,2.409618
898.983000000,0.457043,1.141227,-0.162364,-1.143702,0.073648,2.414768,2.314369
899.013000000,0.457027,1.141251,-0.162295,-1.143663,0.032000,2.414635,2.412676
899.018000000,0.457030,1.141229,-0.162369,-1.143700,0.073647,2.414765,2.314373
899.048000000,0.457116,1.141259,-0.162390,-1.143740,0.033377,2.414884,2.413857
899.053000000,0.457042,1.141229,-0.162361,-1.143697,0.073646,2.414767,2.314369
899.082000000,0.457101,1.141249,-0.162383,-1.143746,0.033732,2.414890,2.416648
899.087000000,0.457035,1.141231,-0.162361,-1.143697,0.073648,2.414770,2.314367
899.117000000,0.457018,1.141254,-0.162313,-1.143652,0.033277,2.414621,2.420937
899.121000000,0.457032,1.141230,-0.162366,-1.143695,0.073647,2.414771,2.314373
899.150000000,0.457087,1.141244,-0.162404,-1.143732,0.034148,2.414885,2.421181
