time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
5513.132000000,0.428403,1.070900,-0.086523,-1.205299,0.191108,2.557078,1.778089
5513.132000000,0.428462,1.070906,-0.086457,-1.205312,0.235956,2.557099,1.662366
5513.162000000,0.428462,1.070908,-0.086462,-1.205310,0.235957,2.557093,1.662368
5513.166000000,0.428267,1.070837,-0.086613,-1.205284,0.179866,2.557110,1.794301
5513.191000000,0.428465,1.070906,-0.086460,-1.205312,0.235959,2.557097,1.662361
5513.200000000,0.428206,1.070791,-0.086673,-1.205275,0.168464,2.557124,1.815745
5513.223000000,0.428454,1.070906,-0.086457,-1.205310,0.235955,2.557093,1.662360
5513.234000000,0.428587,1.070976,-0.086403,-1.205361,0.181483,2.557050,1.775733
5513.255000000,0.428462,1.070908,-0.086457,-1.205307,0.235953,2.557095,1.662369
5513.269000000,0.428693,1.071041,-0.086300,-1.205372,0.188625,2.557040,1.743485
5513.286000000,0.428462,1.070908,-0.086457,-1.205312,0.235956,2.557095,1.662367
5513.302000000,0.428681,1.071031,-0.086300,-1.205360,0.193131,2.557035,1.719727
5513.318000000,0.428462,1.070906,-0.086455,-1.205312,0.235957,2.557095,1.662360
5513.337000000,0.428669,1.071001,-0.086390,-1.205356,0.196690,2.557079,1.701212
5513.352000000,0.428460,1.070906,-0.086455,-1.205310,0.235957,2.557094,1.662368
5513.370000000,0.428522,1.070950,-0.086371,-1.205299,0.197865,2.557072,1.693681
5513.383000000,0.428460,1.070908,-0.086465,-1.205305,0.235953,2.557094,1.662362
5513.405000000,0.428525,1.070910,-0.086491,-1.205298,0.199754,2.557107,1.688424
5513.417000000,0.428460,1.070906,-0.086457,-1.205307,0.235953,2.557094,1.662367
5513.438000000,0.428407,1.070874,-0.086457,-1.205246,0.199778,2.557096,1.692744
5513.451000000,0.428462,1.070908,-0.086457,-1.205310,0.235956,2.557096,1.662359
5513.473000000,0.428443,1.070835,-0.086532,-1.205282,0.200919,2.557126,1.699350
5513.484000000,0.428462,1.070906,-0.086457,-1.205307,0.235953,2.557094,1.662371
5513.507000000,0.428439,1.070842,-0.086537,-1.205267,0.201241,2.557129,1.711558
5513.523000000,0.428462,1.070906,-0.086460,-1.205315,0.235955,2.557096,1.662367
5513.541000000,0.428432,1.070840,-0.086521,-1.205284,0.201427,2.557130,1.722531
5513.559000000,0.428465,1.070908,-0.086455,-1.205310,0.235958,2.557094,1.662366
5513.576000000,0.428380,1.070862,-0.086464,-1.205256,0.200840,2.557088,1.733926
5513.593000000,0.428462,1.070906,-0.086457,-1.205312,0.235954,2.557094,1.662365
5513.609000000,0.428459,1.070882,-0.086518,-1.205300,0.201570,2.557114,1.739745
5513.628000000,0.428457,1.070906,-0.086460,-1.205310,0.235954,2.557098,1.662365
5513.643000000,0.428461,1.070893,-0.086496,-1.205318,0.201541,2.557112,1.746534
5513.662000000,0.428454,1.070906,-0.086459,-1.205312,0.235957,2.557096,1.662359
5513.677000000,0.428477,1.070898,-0.086496,-1.205334,0.201546,2.557100,1.752270
5513.697000000,0.428460,1.070903,-0.086460,-1.205307,0.235956,2.557094,1.662362
5513.712000000,0.428488,1.070925,-0.086494,-1.205323,0.201541,2.557100,1.757165
5513.731000000,0.428462,1.070908,-0.086460,-1.205315,0.235956,2.557098,1.662360
5513.745000000,0.428488,1.070923,-0.086482,-1.205334,0.201510,2.557105,1.761355
5513.763000000,0.428462,1.070906,-0.086460,-1.205310,0.235956,2.557095,1.662367
5513.779000000,0.428495,1.070915,-0.086487,-1.205341,0.201451,2.557097,1.764966
5513.798000000,0.428462,1.070911,-0.086455,-1.205310,0.235956,2.557096,1.662362
5513.813000000,0.428504,1.070931,-0.086492,-1.205326,0.201461,2.557101,1.767885
5513.831000000,0.428462,1.070906,-0.086455,-1.205312,0.235955,2.557099,1.662362
5513.848000000,0.428433,1.070912,-0.086426,-1.205306,0.200741,2.557062,1.772307
5513.866000000,0.428457,1.070908,-0.086457,-1.205312,0.235959,2.557097,1.662365
5513.883000000,0.428495,1.070919,-0.086476,-1.205330,0.201375,2.557106,1.772683
5513.900000000,0.428462,1.070908,-0.086457,-1.205307,0.235958,2.557097,1.662362
5513.917000000,0.428422,1.070889,-0.086488,-1.205315,0.198710,2.557072,1.777305
5513.934000000,0.428460,1.070908,-0.086457,-1.205307,0.235957,2.557095,1.662360
5513.951000000,0.428265,1.070841,-0.086612,-1.205279,0.187694,2.557108,1.793911
5513.969000000,0.428457,1.070903,-0.086460,-1.205312,0.235956,2.557098,1.662364
5513.984000000,0.428147,1.070812,-0.086592,-1.205228,0.177483,2.557068,1.815640
5514.003000000,0.428457,1.070903,-0.086457,-1.205307,0.235958,2.557093,1.662362
5514.019000000,0.428184,1.070777,-0.086668,-1.205262,0.167533,2.557127,1.840507
5514.037000000,0.428460,1.070908,-0.086457,-1.205310,0.235952,2.557095,1.662365
5514.053000000,0.428179,1.070778,-0.086682,-1.205238,0.157181,2.557139,1.870485
5514.071000000,0.428460,1.070906,-0.086455,-1.205307,0.235957,2.557092,1.662363
5514.087000000,0.428172,1.070760,-0.086686,-1.205246,0.146684,2.557157,1.900519
5514.104000000,0.428460,1.070906,-0.086457,-1.205312,0.235953,2.557099,1.662366
5514.120000000,0.428109,1.070754,-0.086639,-1.205200,0.135663,2.557086,1.933547
5514.139000000,0.428460,1.070903,-0.086457,-1.205315,0.235956,2.557096,1.662370
5514.155000000,0.428180,1.070754,-0.086707,-1.205232,0.125194,2.557170,1.965312
5514.173000000,0.428460,1.070908,-0.086460,-1.205305,0.235956,2.557094,1.662365
5514.190000000,0.428108,1.070735,-0.086651,-1.205195,0.113222,2.557069,2.002140
5514.206000000,0.428454,1.070911,-0.086462,-1.205307,0.235958,2.557095,1.662362
5514.224000000,0.428103,1.070745,-0.086657,-1.205169,0.101840,2.557055,2.037083
5514.241000000,0.428462,1.070906,-0.086460,-1.205307,0.235952,2.557093,1.662365
5514.258000000,0.428081,1.070731,-0.086638,-1.205163,0.090286,2.557029,2.073544
5514.274000000,0.428457,1.070906,-0.086462,-1.205310,0.235958,2.557097,1.662367
5514.292000000,0.428072,1.070718,-0.086641,-1.205155,0.078572,2.556998,2.110458
5514.309000000,0.428460,1.070903,-0.086457,-1.205307,0.235956,2.557096,1.662370
5514.326000000,0.428061,1.070728,-0.086639,-1.205126,0.066644,2.556966,2.148385
5514.342000000,0.428460,1.070908,-0.086462,-1.205310,0.235954,2.557094,1.662358
5514.360000000,0.428039,1.070716,-0.086621,-1.205117,0.054601,2.556934,2.186865
5514.376000000,0.428462,1.070908,-0.086462,-1.205310,0.235955,2.557093,1.662358
5514.394000000,0.428028,1.070703,-0.086621,-1.205109,0.042396,2.556893,2.225826
5514.410000000,0.428457,1.070908,-0.086455,-1.205310,0.235956,2.557097,1.662366
