time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
971.238000000,0.375217,1.157085,-0.050739,-0.989223,0.043441,2.122970,2.447875
971.246000000,0.375474,1.157260,-0.050804,-0.989360,0.088177,2.123128,2.389568
971.275000000,0.375350,1.157065,-0.050949,-0.989324,0.045372,2.123259,2.452803
971.281000000,0.375471,1.157255,-0.050804,-0.989352,0.088178,2.123126,2.389567
971.307000000,0.375381,1.157087,-0.050946,-0.989339,0.046114,2.123260,2.458374
971.316000000,0.375471,1.157257,-0.050804,-0.989352,0.088180,2.123127,2.389569
971.341000000,0.375301,1.157162,-0.050740,-0.989244,0.045857,2.122966,2.464708
971.350000000,0.375464,1.157257,-0.050804,-0.989352,0.088176,2.123127,2.389571
971.376000000,0.375347,1.157180,-0.050728,-0.989282,0.046107,2.122974,2.468177
971.384000000,0.375469,1.157260,-0.050810,-0.989356,0.088183,2.123126,2.389571
971.411000000,0.375367,1.157224,-0.050703,-0.989287,0.046262,2.122970,2.471131
971.416000000,0.375466,1.157257,-0.050807,-0.989352,0.088176,2.123127,2.389573
971.445000000,0.375520,1.157232,-0.050899,-0.989403,0.047087,2.123255,2.471944
971.447000000,0.375469,1.157260,-0.050804,-0.989354,0.088179,2.123129,2.389567
971.478000000,0.375411,1.157272,-0.050690,-0.989310,0.046413,2.122965,2.475563
971.480000000,0.375469,1.157260,-0.050804,-0.989349,0.088177,2.123128,2.389568
971.513000000,0.375545,1.157263,-0.050889,-0.989416,0.047165,2.123254,2.475522
971.514000000,0.375471,1.157257,-0.050807,-0.989349,0.088177,2.123128,2.389571
971.547000000,0.375551,1.157265,-0.050891,-0.989419,0.047179,2.123253,2.476712
971.547000000,0.375466,1.157257,-0.050810,-0.989352,0.088180,2.123128,2.389568
971.581000000,0.375547,1.157272,-0.050888,-0.989417,0.047184,2.123256,2.477501
971.581000000,0.375471,1.157260,-0.050810,-0.989354,0.088177,2.123127,2.389562
971.615000000,0.375471,1.157257,-0.050810,-0.989354,0.088176,2.123127,2.389568
971.616000000,0.375434,1.157275,-0.050704,-0.989324,0.046434,2.122966,2.479622
971.649000000,0.375471,1.157255,-0.050807,-0.989353,0.088177,2.123129,2.389561
971.649000000,0.375490,1.157259,-0.050824,-0.989369,0.045246,2.123192,2.479386
971.683000000,0.375471,1.157257,-0.050807,-0.989349,0.088177,2.123128,2.389566
971.684000000,0.375285,1.157168,-0.050656,-0.989241,0.031148,2.122902,2.490944
971.717000000,0.375389,1.157129,-0.050874,-0.989308,0.020591,2.123204,2.497149
971.718000000,0.375469,1.157257,-0.050807,-0.989354,0.088176,2.123129,2.389571
971.751000000,0.375469,1.157255,-0.050810,-0.989352,0.088180,2.123126,2.389571
971.752000000,0.375412,1.157215,-0.050783,-0.989299,0.020280,2.122955,2.489658
971.784000000,0.375469,1.157257,-0.050812,-0.989354,0.088178,2.123128,2.389573
971.786000000,0.375342,1.157286,-0.050552,-0.989254,0.020714,2.122831,2.491987
971.819000000,0.375471,1.157260,-0.050807,-0.989354,0.088178,2.123128,2.389572
971.821000000,0.375416,1.157186,-0.050808,-0.989309,0.007228,2.123115,2.510169
971.848000000,0.375471,1.157257,-0.050802,-0.989349,0.088182,2.123127,2.389570
971.856000000,0.375392,1.157157,-0.050814,-0.989294,-0.004831,2.123127,2.522707
971.874000000,0.375466,1.157257,-0.050810,-0.989352,0.088177,2.123127,2.389566
971.889000000,0.375402,1.157136,-0.050858,-0.989300,-0.017418,2.123183,2.535503
971.904000000,0.375477,1.157263,-0.050810,-0.989351,0.088181,2.123127,2.389566
971.923000000,0.375416,1.157123,-0.050893,-0.989308,-0.030294,2.123234,2.548474
971.934000000,0.375474,1.157263,-0.050802,-0.989350,0.088180,2.123126,2.389561
971.958000000,0.375434,1.157113,-0.050927,-0.989316,-0.043460,2.123289,2.561744
971.964000000,0.375474,1.157260,-0.050807,-0.989352,0.088180,2.123128,2.389568
971.991000000,0.375658,1.157404,-0.050928,-0.989408,-0.024967,2.123084,2.533719
971.993000000,0.375471,1.157260,-0.050807,-0.989352,0.088177,2.123126,2.389565
972.024000000,0.375474,1.157257,-0.050804,-0.989352,0.088176,2.123126,2.389567
972.026000000,0.375834,1.157581,-0.050883,-0.989595,0.002519,2.123294,2.488751
972.060000000,0.375608,1.157448,-0.050686,-0.989484,0.002343,2.123177,2.482004
972.061000000,0.375469,1.157257,-0.050807,-0.989354,0.088176,2.123128,2.389567
972.094000000,0.375760,1.157447,-0.050974,-0.989548,0.011276,2.123341,2.465032
972.096000000,0.375469,1.157260,-0.050807,-0.989357,0.088176,2.123129,2.389561
972.128000000,0.375725,1.157470,-0.050891,-0.989511,0.024480,2.123272,2.441955
972.131000000,0.375471,1.157260,-0.050804,-0.989352,0.088177,2.123128,2.389563
972.162000000,0.375651,1.157406,-0.050867,-0.989466,0.033105,2.123240,2.422660
972.166000000,0.375474,1.157260,-0.050804,-0.989354,0.088180,2.123128,2.389571
972.196000000,0.375573,1.157317,-0.050880,-0.989417,0.038362,2.123232,2.406047
972.200000000,0.375469,1.157257,-0.050804,-0.989354,0.088177,2.123127,2.389564
972.230000000,0.375398,1.157178,-0.050808,-0.989324,0.033647,2.123190,2.397019
972.232000000,0.375474,1.157260,-0.050810,-0.989354,0.088181,2.123127,2.389563
972.265000000,0.375377,1.157173,-0.050794,-0.989275,0.036583,2.123047,2.394227
972.266000000,0.375469,1.157263,-0.050804,-0.989352,0.088178,2.123127,2.389565
972.298000000,0.375469,1.157260,-0.050810,-0.989349,0.088177,2.123127,2.389572
972.299000000,0.375384,1.157181,-0.050760,-0.989284,0.040892,2.123019,2.391721
972.331000000,0.375464,1.157263,-0.050810,-0.989354,0.088178,2.123128,2.389567
972.334000000,0.375362,1.157106,-0.050824,-0.989283,0.033617,2.123163,2.396578
972.366000000,0.375471,1.157257,-0.050810,-0.989357,0.088176,2.123127,2.389568
972.368000000,0.375506,1.157176,-0.050966,-0.989348,0.039812,2.123264,2.391925
972.398000000,0.375466,1.157260,-0.050804,-0.989349,0.088176,2.123127,2.389572
972.403000000,0.375390,1.157213,-0.050713,-0.989292,0.042541,2.122972,2.390682
972.432000000,0.375474,1.157257,-0.050810,-0.989354,0.088178,2.123129,2.389562
972.437000000,0.375401,1.157237,-0.050701,-0.989305,0.044586,2.122969,2.388528
972.466000000,0.375469,1.157257,-0.050804,-0.989352,0.088180,2.123129,2.389567
972.472000000,0.375529,1.157256,-0.050899,-0.989376,0.046557,2.123239,2.384912
972.499000000,0.375469,1.157255,-0.050807,-0.989349,0.088177,2.123128,2.389564
972.506000000,0.375519,1.157248,-0.050886,-0.989392,0.047165,2.123246,2.383113
972.532000000,0.375471,1.157257,-0.050802,-0.989349,0.088177,2.123127,2.389564
972.540000000,0.375518,1.157249,-0.050888,-0.989393,0.047554,2.123247,2.381107
972.565000000,0.375474,1.157260,-0.050810,-0.989357,0.088177,2.123128,2.389569
972.575000000,0.375403,1.157251,-0.050706,-0.989313,0.047058,2.122980,2.380462
972.599000000,0.375469,1.157257,-0.050804,-0.989354,0.088181,2.123129,2.389567
972.608000000,0.375405,1.157251,-0.050709,-0.989315,0.047147,2.122982,2.377921
972.633000000,0.375466,1.157257,-0.050810,-0.989357,0.088178,2.123128,2.389567
972.643000000,0.375406,1.157251,-0.050709,-0.989316,0.047189,2.122984,2.375042
972.667000000,0.375469,1.157257,-0.050810,-0.989352,0.088176,2.123128,2.389567
972.677000000,0.375368,1.157248,-0.050647,-0.989295,0.046305,2.122942,2.372480
972.700000000,0.375469,1.157260,-0.050802,-0.989352,0.088178,2.123125,2.389570
972.711000000,0.375399,1.157164,-0.050849,-0.989313,0.034200,2.123157,2.376878
972.734000000,0.375474,1.157257,-0.050804,-0.989354,0.088180,2.123130,2.389562
972.746000000,0.375358,1.157120,-0.050833,-0.989306,0.023273,2.123157,2.381177
972.768000000,0.375471,1.157260,-0.050804,-0.989352,0.088180,2.123127,2.389570
972.780000000,0.375367,1.157101,-0.050877,-0.989311,0.011900,2.123206,2.385514
972.802000000,0.375474,1.157260,-0.050810,-0.989352,0.088180,2.123126,2.389573
972.814000000,0.375377,1.157090,-0.050901,-0.989320,0.000368,2.123244,2.389714
972.835000000,0.375474,1.157260,-0.050804,-0.989352,0.088179,2.123126,2.389573
972.848000000,0.375393,1.157081,-0.050928,-0.989330,-0.011337,2.123285,2.393875
972.869000000,0.375457,1.157263,-0.050818,-0.989362,0.088180,2.123124,2.389562
972.882000000,0.375409,1.157078,-0.050954,-0.989345,-0.023187,2.123327,2.398054
972.903000000,0.375408,1.157289,-0.050849,-0.989385,0.088181,2.123121,2.389562
972.917000000,0.375308,1.157076,-0.050787,-0.989263,-0.036347,2.123074,2.404199
972.935000000,0.375356,1.157302,-0.050875,-0.989391,0.088180,2.123120,2.389561
972.951000000,0.375308,1.157087,-0.050778,-0.989243,-0.048800,2.123043,2.408879
972.969000000,0.375386,1.157283,-0.050862,-0.989365,0.088180,2.123123,2.389570
972.984000000,0.375416,1.157056,-0.050949,-0.989343,-0.060419,2.123310,2.412062
973.002000000,0.375406,1.157250,-0.050851,-0.989352,0.088177,2.123125,2.389572
973.019000000,0.375296,1.157082,-0.050745,-0.989222,-0.074305,2.122986,2.419188
973.036000000,0.375401,1.157265,-0.050853,-0.989360,0.088177,2.123125,2.389570
973.053000000,0.375424,1.157045,-0.050954,-0.989342,-0.086133,2.123311,2.423058
973.070000000,0.375417,1.157276,-0.050843,-0.989365,0.088180,2.123124,2.389563
973.086000000,0.375424,1.157048,-0.050953,-0.989339,-0.099258,2.123318,2.429290
973.103000000,0.375408,1.157271,-0.050848,-0.989360,0.088176,2.123124,2.389571
973.120000000,0.375453,1.157051,-0.051000,-0.989341,-0.112474,2.123372,2.436088
973.138000000,0.375361,1.157265,-0.050872,-0.989362,0.088180,2.123124,2.389573
973.154000000,0.375475,1.157045,-0.051034,-0.989354,-0.125865,2.123424,2.443563
973.172000000,0.375377,1.157268,-0.050867,-0.989362,0.088180,2.123126,2.389570
973.189000000,0.375357,1.157047,-0.050825,-0.989263,-0.140645,2.123111,2.453791
973.204000000,0.375388,1.157271,-0.050862,-0.989357,0.088180,2.123128,2.389570
973.223000000,0.375353,1.157045,-0.050802,-0.989250,-0.154794,2.123076,2.463213
973.238000000,0.375374,1.157239,-0.050870,-0.989349,0.088182,2.123129,2.389564
973.257000000,0.375337,1.157041,-0.050759,-0.989231,-0.169239,2.123004,2.473675
973.272000000,0.375379,1.157239,-0.050867,-0.989344,0.088181,2.123134,2.389566
973.291000000,0.375314,1.157046,-0.050709,-0.989203,-0.183930,2.122936,2.485241
973.306000000,0.375385,1.157241,-0.050864,-0.989347,0.088181,2.123133,2.389572
973.325000000,0.375301,1.157029,-0.050679,-0.989191,-0.198974,2.122859,2.498125
973.340000000,0.375375,1.157241,-0.050864,-0.989352,0.088181,2.123129,2.389570
973.359000000,0.375284,1.157026,-0.050636,-0.989170,-0.214198,2.122783,2.512278
973.373000000,0.375382,1.157236,-0.050867,-0.989347,0.088179,2.123132,2.389571
973.393000000,0.375265,1.157022,-0.050593,-0.989149,-0.229737,2.122703,2.527936
973.408000000,0.375401,1.157241,-0.050856,-0.989344,0.088178,2.123128,2.389574
973.427000000,0.375246,1.157015,-0.050547,-0.989126,-0.245608,2.122619,2.545242
973.441000000,0.375423,1.157255,-0.050845,-0.989357,0.088178,2.123128,2.389570
973.461000000,0.375231,1.157013,-0.050508,-0.989101,-0.261747,2.122551,2.564289
973.475000000,0.375405,1.157252,-0.050847,-0.989352,0.088184,2.123131,2.389571
973.501000000,0.375208,1.157005,-0.050453,-0.989071,-0.281320,2.122449,2.589322
973.506000000,0.375420,1.157250,-0.050845,-0.989357,0.088178,2.123127,2.389571
973.536000000,0.376127,1.157989,-0.051231,-0.989740,-0.183476,2.123115,2.525959
973.541000000,0.375457,1.157267,-0.050825,-0.989365,0.088181,2.123124,2.389574
973.570000000,0.376078,1.158351,-0.050620,-0.989803,-0.104235,2.122779,2.494881
973.576000000,0.375423,1.157315,-0.050841,-0.989388,0.088179,2.123117,2.389571
973.601000000,0.375365,1.157323,-0.050869,-0.989385,0.088182,2.123117,2.389572
973.604000000,0.375902,1.158194,-0.050356,-0.989710,-0.046272,2.122689,2.479647
973.635000000,0.375354,1.157304,-0.050873,-0.989378,0.088182,2.123118,2.389564
973.638000000,0.375473,1.157741,-0.050114,-0.989459,-0.014528,2.122535,2.474897
973.665000000,0.375394,1.157291,-0.050846,-0.989360,0.088192,2.123127,2.389564
973.672000000,0.375310,1.157136,-0.050794,-0.989237,-0.028886,2.122931,2.495307
973.699000000,0.375498,1.157315,-0.050803,-0.989372,0.088189,2.123129,2.389576
973.707000000,0.375285,1.157142,-0.050676,-0.989201,-0.000314,2.122814,2.484966
973.732000000,0.375549,1.157327,-0.050786,-0.989372,0.088189,2.123127,2.389579
973.741000000,0.375248,1.157081,-0.050646,-0.989198,0.017176,2.122845,2.479605
973.765000000,0.375543,1.157333,-0.050790,-0.989403,0.088179,2.123097,2.389569
