time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
28.380000000,0.424789,0.879404,-0.073182,-1.392549,-0.105350,2.572686,2.677431
28.403000000,0.425163,0.879547,-0.073069,-1.392810,0.072800,2.573096,2.322878
28.414000000,0.424860,0.879399,-0.073246,-1.392617,-0.116268,2.572972,2.709977
28.435000000,0.425163,0.879547,-0.073075,-1.392811,0.072801,2.573097,2.322874
28.449000000,0.424780,0.879391,-0.073184,-1.392528,-0.128669,2.572622,2.747052
28.468000000,0.425166,0.879545,-0.073075,-1.392808,0.072802,2.573098,2.322875
28.484000000,0.424843,0.879384,-0.073240,-1.392614,-0.139923,2.572978,2.781789
28.500000000,0.425168,0.879548,-0.073072,-1.392805,0.072802,2.573097,2.322869
28.517000000,0.424764,0.879388,-0.073178,-1.392508,-0.152156,2.572601,2.819311
28.533000000,0.425168,0.879545,-0.073075,-1.392805,0.072801,2.573096,2.322875
28.553000000,0.425765,0.879777,-0.072841,-1.393206,-0.120638,2.573145,2.761359
28.564000000,0.425166,0.879543,-0.073072,-1.392813,0.072801,2.573098,2.322872
28.588000000,0.426519,0.880377,-0.072201,-1.393142,-0.059569,2.572780,2.644236
28.598000000,0.425166,0.879548,-0.073069,-1.392813,0.072802,2.573096,2.322874
28.622000000,0.426369,0.880275,-0.072224,-1.393041,-0.024293,2.572754,2.563932
28.632000000,0.425163,0.879545,-0.073072,-1.392813,0.072800,2.573098,2.322874
28.656000000,0.425868,0.879954,-0.072540,-1.392889,-0.002377,2.572789,2.502932
28.666000000,0.425166,0.879546,-0.073075,-1.392813,0.072803,2.573098,2.322866
28.690000000,0.425306,0.879639,-0.072905,-1.392728,0.011451,2.572850,2.456235
28.700000000,0.425158,0.879550,-0.073069,-1.392813,0.072802,2.573095,2.322876
28.726000000,0.424521,0.879263,-0.073368,-1.392437,0.006027,2.572816,2.469038
28.732000000,0.425161,0.879545,-0.073069,-1.392811,0.072801,2.573098,2.322875
28.759000000,0.424453,0.879154,-0.073474,-1.392536,0.011027,2.572944,2.464469
28.766000000,0.425166,0.879550,-0.073072,-1.392811,0.072801,2.573099,2.322876
28.794000000,0.424527,0.879207,-0.073401,-1.392568,0.019667,2.572958,2.450243
28.799000000,0.425163,0.879545,-0.073075,-1.392811,0.072801,2.573099,2.322871
28.827000000,0.424384,0.879185,-0.073431,-1.392487,0.016742,2.572857,2.456229
28.834000000,0.425163,0.879543,-0.073072,-1.392813,0.072802,2.573098,2.322872
28.861000000,0.424182,0.879109,-0.073570,-1.392433,0.004452,2.572843,2.478316
28.867000000,0.425168,0.879550,-0.073069,-1.392811,0.072800,2.573098,2.322871
28.895000000,0.424063,0.879060,-0.073612,-1.392395,-0.007364,2.572799,2.504856
28.902000000,0.425166,0.879546,-0.073072,-1.392816,0.072801,2.573098,2.322870
28.930000000,0.424070,0.879031,-0.073699,-1.392435,-0.019213,2.573026,2.535624
28.934000000,0.425163,0.879543,-0.073072,-1.392813,0.072803,2.573099,2.322881
28.963000000,0.423983,0.879019,-0.073685,-1.392350,-0.031831,2.572788,2.570545
28.967000000,0.425166,0.879540,-0.073072,-1.392813,0.072801,2.573098,2.322867
28.998000000,0.424014,0.878985,-0.073732,-1.392422,-0.044111,2.573027,2.605084
29.000000000,0.425163,0.879547,-0.073069,-1.392813,0.072801,2.573097,2.322871
29.032000000,0.424014,0.878987,-0.073756,-1.392417,-0.056828,2.573080,2.642351
29.033000000,0.425168,0.879545,-0.073072,-1.392808,0.072802,2.573098,2.322876
29.067000000,0.423946,0.878971,-0.073720,-1.392347,-0.070736,2.572814,2.682908
29.069000000,0.425163,0.879540,-0.073072,-1.392813,0.072802,2.573096,2.322867
29.100000000,0.425007,0.879436,-0.073247,-1.392859,-0.034737,2.573263,2.594703
29.102000000,0.425163,0.879545,-0.073072,-1.392811,0.072801,2.573098,2.322875
29.135000000,0.425416,0.879685,-0.072932,-1.392913,-0.009278,2.573176,2.523960
29.136000000,0.425161,0.879545,-0.073072,-1.392811,0.072802,2.573097,2.322871
29.170000000,0.425417,0.879731,-0.072853,-1.392813,0.006161,2.572881,2.469855
29.170000000,0.425166,0.879548,-0.073075,-1.392808,0.072801,2.573098,2.322873
29.203000000,0.425166,0.879545,-0.073069,-1.392808,0.072801,2.573099,2.322876
29.205000000,0.425351,0.879640,-0.072960,-1.392857,0.016856,2.573119,2.424780
29.237000000,0.425166,0.879545,-0.073067,-1.392813,0.072802,2.573098,2.322873
29.239000000,0.425182,0.879566,-0.073097,-1.392756,0.022163,2.573120,2.397864
29.271000000,0.425166,0.879550,-0.073072,-1.392811,0.072801,2.573098,2.322875
29.272000000,0.424711,0.879348,-0.073337,-1.392597,0.007847,2.573034,2.435162
29.302000000,0.425166,0.879545,-0.073073,-1.392813,0.072800,2.573098,2.322874
29.310000000,0.424667,0.879307,-0.073402,-1.392654,0.000699,2.573191,2.427586
29.337000000,0.425166,0.879543,-0.073075,-1.392813,0.072802,2.573099,2.322869
29.345000000,0.424592,0.879276,-0.073445,-1.392637,-0.010276,2.573206,2.432544
29.366000000,0.425166,0.879545,-0.073075,-1.392811,0.072801,2.573095,2.322874
29.379000000,0.424588,0.879255,-0.073475,-1.392643,-0.020513,2.573240,2.442254
29.399000000,0.425166,0.879545,-0.073072,-1.392813,0.072801,2.573100,2.322873
29.414000000,0.424915,0.879343,-0.073378,-1.392841,-0.018233,2.573385,2.441040
29.434000000,0.425168,0.879548,-0.073067,-1.392808,0.072800,2.573097,2.322875
29.448000000,0.425012,0.879519,-0.073116,-1.392634,-0.011760,2.572974,2.443964
29.466000000,0.425166,0.879545,-0.073067,-1.392813,0.072799,2.573097,2.322873
29.486000000,0.425211,0.879512,-0.073089,-1.392861,-0.007215,2.573113,2.437311
29.500000000,0.425161,0.879543,-0.073075,-1.392810,0.072799,2.573096,2.322867
29.520000000,0.425102,0.879539,-0.073065,-1.392704,-0.006491,2.572970,2.439779
29.529000000,0.425166,0.879548,-0.073072,-1.392811,0.072801,2.573095,2.322873
29.554000000,0.425324,0.879542,-0.073100,-1.392928,-0.000749,2.573300,2.432289
29.567000000,0.425163,0.879545,-0.073069,-1.392810,0.072801,2.573098,2.322870
29.587000000,0.425147,0.879565,-0.073054,-1.392715,-0.000804,2.572977,2.437845
29.599000000,0.425166,0.879543,-0.073069,-1.392811,0.072802,2.573098,2.322874
29.622000000,0.425297,0.879554,-0.073027,-1.392891,0.005113,2.573071,2.428120
29.634000000,0.425168,0.879545,-0.073072,-1.392813,0.072802,2.573096,2.322873
29.657000000,0.425160,0.879535,-0.073101,-1.392799,0.003439,2.573199,2.434607
29.667000000,0.425168,0.879548,-0.073067,-1.392816,0.072801,2.573097,2.322877
29.692000000,0.424953,0.879400,-0.073257,-1.392790,-0.008342,2.573239,2.460504
29.699000000,0.425166,0.879545,-0.073072,-1.392813,0.072802,2.573098,2.322869
29.727000000,0.425347,0.879574,-0.073037,-1.392952,0.004948,2.573286,2.432593
29.732000000,0.425166,0.879548,-0.073072,-1.392813,0.072802,2.573098,2.322867
29.761000000,0.425496,0.879673,-0.072926,-1.392951,0.016473,2.573217,2.400775
29.766000000,0.425174,0.879541,-0.073067,-1.392815,0.072799,2.573098,2.322867
29.795000000,0.425395,0.879682,-0.072889,-1.392844,0.022998,2.572976,2.380700
