time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
3877.508000000,0.319635,0.720788,-0.524155,-1.299037,0.329538,2.054754,2.807761
3877.538000000,0.319965,0.721030,-0.524368,-1.299249,0.481747,2.055151,2.596482
3877.543000000,0.319825,0.720807,-0.524376,-1.299133,0.321188,2.054986,2.826283
3877.573000000,0.319960,0.721025,-0.524375,-1.299252,0.481746,2.055149,2.596483
3877.578000000,0.319580,0.720777,-0.524094,-1.299014,0.311491,2.054681,2.848818
3877.608000000,0.319958,0.721027,-0.524373,-1.299252,0.481748,2.055151,2.596480
3877.611000000,0.319817,0.720813,-0.524378,-1.299125,0.303455,2.054995,2.867585
3877.641000000,0.319965,0.721027,-0.524376,-1.299252,0.481746,2.055151,2.596483
3877.646000000,0.319586,0.720779,-0.524107,-1.299012,0.293396,2.054663,2.892142
3877.675000000,0.319965,0.721024,-0.524375,-1.299249,0.481748,2.055151,2.596485
3877.681000000,0.319756,0.720856,-0.524264,-1.299114,0.290224,2.054864,2.897301
3877.709000000,0.319962,0.721027,-0.524367,-1.299252,0.481746,2.055147,2.596478
3877.716000000,0.319724,0.720896,-0.524180,-1.299093,0.288161,2.054784,2.897930
3877.743000000,0.319960,0.721029,-0.524377,-1.299252,0.481747,2.055151,2.596474
3877.750000000,0.319770,0.720917,-0.524222,-1.299127,0.286734,2.054827,2.897390
3877.777000000,0.319959,0.721027,-0.524374,-1.299254,0.481747,2.055152,2.596476
3877.784000000,0.319765,0.720937,-0.524203,-1.299119,0.285519,2.054814,2.897314
3877.811000000,0.319968,0.721030,-0.524376,-1.299246,0.481747,2.055151,2.596478
3877.818000000,0.319766,0.720945,-0.524193,-1.299121,0.284672,2.054817,2.897302
3877.844000000,0.319957,0.721032,-0.524370,-1.299249,0.481748,2.055150,2.596481
3877.853000000,0.319778,0.720961,-0.524204,-1.299125,0.284009,2.054818,2.897332
3877.879000000,0.319960,0.721024,-0.524372,-1.299246,0.481748,2.055149,2.596483
3877.887000000,0.319769,0.720960,-0.524186,-1.299122,0.283503,2.054815,2.897332
3877.913000000,0.319962,0.721027,-0.524376,-1.299252,0.481747,2.055150,2.596481
3877.922000000,0.319778,0.720972,-0.524196,-1.299124,0.283125,2.054816,2.897300
3877.947000000,0.319962,0.721025,-0.524372,-1.299249,0.481747,2.055150,2.596479
3877.957000000,0.319783,0.720967,-0.524195,-1.299134,0.282838,2.054816,2.897300
3877.980000000,0.319967,0.721025,-0.524376,-1.299249,0.481747,2.055151,2.596475
3877.991000000,0.319861,0.720938,-0.524307,-1.299159,0.278075,2.054949,2.891769
3878.005000000,0.319962,0.721030,-0.524372,-1.299249,0.481746,2.055152,2.596476
3878.024000000,0.319644,0.720853,-0.524099,-1.299037,0.269317,2.054666,2.891373
3878.039000000,0.319960,0.721030,-0.524373,-1.299249,0.481746,2.055149,2.596484
3878.058000000,0.319612,0.720824,-0.524072,-1.299013,0.260633,2.054636,2.892229
3878.070000000,0.319960,0.721027,-0.524375,-1.299252,0.481746,2.055151,2.596482
3878.092000000,0.319813,0.720845,-0.524317,-1.299099,0.251689,2.054916,2.894901
3878.103000000,0.319962,0.721027,-0.524379,-1.299252,0.481746,2.055153,2.596485
3878.127000000,0.319827,0.720866,-0.524341,-1.299112,0.244379,2.054959,2.896190
3878.135000000,0.319962,0.721025,-0.524372,-1.299249,0.481748,2.055151,2.596484
3878.161000000,0.319862,0.720856,-0.524374,-1.299140,0.236804,2.054991,2.896012
3878.169000000,0.319962,0.721026,-0.524372,-1.299246,0.481747,2.055151,2.596481
3878.195000000,0.319898,0.720872,-0.524423,-1.299149,0.228359,2.055051,2.895310
3878.203000000,0.319965,0.721032,-0.524375,-1.299244,0.481747,2.055147,2.596487
