time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
4842.153000000,0.298189,1.015168,0.063424,-1.422701,0.060967,2.668881,2.595187
4842.155000000,0.298202,1.015172,0.063431,-1.422726,0.098724,2.669012,2.466050
4842.188000000,0.298190,1.015168,0.063425,-1.422700,0.060980,2.668882,2.596705
4842.188000000,0.298204,1.015164,0.063428,-1.422729,0.098724,2.669010,2.466050
4842.221000000,0.298219,1.015166,0.063442,-1.422751,0.061619,2.669124,2.596147
4842.222000000,0.298207,1.015166,0.063426,-1.422731,0.098724,2.669011,2.466051
4842.255000000,0.298203,1.015166,0.063429,-1.422723,0.098722,2.669011,2.466043
4842.255000000,0.298220,1.015165,0.063441,-1.422751,0.061604,2.669124,2.597334
4842.287000000,0.298202,1.015169,0.063423,-1.422723,0.098724,2.669015,2.466049
4842.290000000,0.298095,1.015168,0.063389,-1.422647,0.057509,2.668870,2.603962
4842.321000000,0.298204,1.015164,0.063421,-1.422727,0.098723,2.669013,2.466049
4842.323000000,0.297919,1.015094,0.063272,-1.422687,0.046898,2.669112,2.616390
4842.353000000,0.298203,1.015170,0.063424,-1.422728,0.098724,2.669011,2.466047
4842.358000000,0.297794,1.015092,0.063201,-1.422588,0.034741,2.668878,2.635097
4842.386000000,0.298201,1.015169,0.063434,-1.422720,0.098723,2.669011,2.466045
4842.391000000,0.297742,1.015076,0.063169,-1.422567,0.023199,2.668853,2.653940
4842.420000000,0.298204,1.015169,0.063426,-1.422726,0.098722,2.669012,2.466043
4842.426000000,0.297710,1.015068,0.063149,-1.422540,0.011383,2.668807,2.675124
4842.446000000,0.298200,1.015172,0.063428,-1.422728,0.098720,2.669011,2.466050
4842.461000000,0.297692,1.015063,0.063136,-1.422516,-0.000526,2.668762,2.698456
4842.472000000,0.298204,1.015166,0.063426,-1.422731,0.098724,2.669012,2.466051
4842.494000000,0.297678,1.015059,0.063128,-1.422492,-0.012595,2.668714,2.723980
4842.508000000,0.298202,1.015169,0.063426,-1.422723,0.098721,2.669012,2.466049
4842.528000000,0.297666,1.015055,0.063121,-1.422468,-0.024842,2.668663,2.751686
4842.540000000,0.298202,1.015169,0.063424,-1.422734,0.098724,2.669013,2.466050
4842.562000000,0.297659,1.015050,0.063115,-1.422445,-0.037151,2.668611,2.781430
4842.572000000,0.298202,1.015169,0.063429,-1.422728,0.098722,2.669013,2.466053
4842.597000000,0.297679,1.015030,0.063116,-1.422513,-0.049277,2.668872,2.812322
4842.607000000,0.298207,1.015166,0.063424,-1.422723,0.098724,2.669013,2.466047
4842.630000000,0.297645,1.015042,0.063107,-1.422423,-0.062127,2.668592,2.847059
4842.644000000,0.298204,1.015169,0.063428,-1.422731,0.098724,2.669014,2.466050
4842.665000000,0.297671,1.015016,0.063110,-1.422489,-0.074481,2.668866,2.882052
4842.678000000,0.298202,1.015169,0.063425,-1.422727,0.098723,2.669011,2.466048
4842.700000000,0.297803,1.015067,0.063198,-1.422524,-0.081634,2.668785,2.897300
4842.713000000,0.298202,1.015169,0.063423,-1.422723,0.098723,2.669012,2.466044
4842.734000000,0.299300,1.015513,0.064013,-1.423042,-0.025167,2.668973,2.779401
4842.748000000,0.298202,1.015166,0.063429,-1.422727,0.098724,2.669012,2.466046
4842.767000000,0.299526,1.015608,0.064219,-1.423004,0.008752,2.669000,2.697583
4842.781000000,0.298202,1.015169,0.063426,-1.422726,0.098724,2.669011,2.466045
4842.801000000,0.299189,1.015489,0.064042,-1.422903,0.030433,2.668992,2.630555
4842.813000000,0.298212,1.015169,0.063426,-1.422721,0.098723,2.669012,2.466052
4842.837000000,0.298599,1.015322,0.063700,-1.422706,0.042751,2.668766,2.576477
4842.850000000,0.298202,1.015169,0.063423,-1.422720,0.098724,2.669010,2.466043
4842.871000000,0.298110,1.015136,0.063396,-1.422678,0.051135,2.669041,2.527855
4842.882000000,0.298198,1.015166,0.063426,-1.422723,0.098723,2.669012,2.466052
4842.904000000,0.297738,1.015030,0.063167,-1.422568,0.054722,2.668849,2.494478
4842.915000000,0.298204,1.015169,0.063426,-1.422721,0.098724,2.669011,2.466048
4842.939000000,0.297576,1.014975,0.063054,-1.422593,0.058186,2.669098,2.461068
4842.947000000,0.298196,1.015166,0.063428,-1.422727,0.098724,2.669012,2.466050
4842.973000000,0.297541,1.014966,0.063029,-1.422592,0.059780,2.669115,2.441218
4842.982000000,0.298207,1.015166,0.063429,-1.422731,0.098722,2.669013,2.466048
4843.008000000,0.297587,1.015004,0.063054,-1.422549,0.060054,2.668921,2.426816
4843.015000000,0.298207,1.015172,0.063428,-1.422721,0.098724,2.669015,2.466048
4843.043000000,0.297719,1.015042,0.063130,-1.422579,0.060587,2.668927,2.414740
4843.049000000,0.298202,1.015169,0.063426,-1.422723,0.098724,2.669011,2.466042
4843.076000000,0.297869,1.015086,0.063218,-1.422607,0.060880,2.668927,2.406187
4843.082000000,0.298204,1.015164,0.063428,-1.422726,0.098723,2.669012,2.466051
4843.110000000,0.298009,1.015124,0.063301,-1.422633,0.061025,2.668923,2.401023
4843.115000000,0.298199,1.015166,0.063426,-1.422731,0.098722,2.669014,2.466052
4843.145000000,0.298152,1.015137,0.063383,-1.422725,0.061787,2.669126,2.397225
4843.147000000,0.298201,1.015169,0.063426,-1.422728,0.098722,2.669010,2.466046
4843.180000000,0.298200,1.015157,0.063423,-1.422685,0.061120,2.668913,2.400578
4843.180000000,0.298204,1.015166,0.063429,-1.422724,0.098725,2.669010,2.466047
4843.214000000,0.298278,1.015167,0.063458,-1.422747,0.061805,2.669121,2.403062
4843.216000000,0.298199,1.015172,0.063429,-1.422725,0.098724,2.669011,2.466042
4843.248000000,0.298264,1.015172,0.063462,-1.422694,0.061102,2.668908,2.412665
4843.252000000,0.298202,1.015169,0.063429,-1.422725,0.098722,2.669011,2.466052
4843.281000000,0.298297,1.015171,0.063472,-1.422750,0.061771,2.669121,2.420860
4843.285000000,0.298209,1.015166,0.063426,-1.422729,0.098724,2.669011,2.466048
4843.315000000,0.298288,1.015167,0.063463,-1.422749,0.061749,2.669123,2.434002
4843.319000000,0.298201,1.015169,0.063425,-1.422723,0.098724,2.669011,2.466051
4843.349000000,0.298272,1.015163,0.063453,-1.422748,0.061725,2.669126,2.449837
4843.352000000,0.298207,1.015169,0.063426,-1.422728,0.098723,2.669016,2.466046
4843.384000000,0.298221,1.015161,0.063434,-1.422688,0.061010,2.668902,2.470722
4843.384000000,0.298198,1.015166,0.063426,-1.422728,0.098722,2.669012,2.466045
4843.418000000,0.298206,1.015159,0.063428,-1.422690,0.061042,2.668900,2.490956
4843.418000000,0.298207,1.015172,0.063429,-1.422726,0.098723,2.669012,2.466051
4843.450000000,0.298204,1.015166,0.063423,-1.422723,0.098722,2.669011,2.466048
4843.452000000,0.298192,1.015160,0.063427,-1.422698,0.061094,2.668895,2.508561
4843.485000000,0.298207,1.015166,0.063426,-1.422728,0.098722,2.669012,2.466052
4843.486000000,0.298112,1.015157,0.063403,-1.422664,0.058769,2.668834,2.526389
4843.518000000,0.298204,1.015166,0.063428,-1.422730,0.098723,2.669013,2.466051
4843.521000000,0.297930,1.015113,0.063268,-1.422673,0.048013,2.669047,2.552038
4843.550000000,0.298204,1.015172,0.063426,-1.422727,0.098721,2.669013,2.466050
4843.556000000,0.297781,1.015096,0.063218,-1.422591,0.036149,2.668814,2.582777
4843.585000000,0.298201,1.015169,0.063426,-1.422723,0.098724,2.669012,2.466051
