time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
5403.948000000,0.392926,1.068331,-0.045376,-1.229278,0.009454,2.385169,1.460242
5403.959000000,0.392730,1.068182,-0.045507,-1.229171,-0.090098,2.385134,1.399739
5403.981000000,0.392926,1.068328,-0.045376,-1.229280,0.009451,2.385164,1.460240
5403.993000000,0.392709,1.068172,-0.045478,-1.229168,-0.099852,2.385129,1.402735
5404.013000000,0.392926,1.068333,-0.045376,-1.229285,0.009451,2.385168,1.460242
5404.028000000,0.392700,1.068160,-0.045468,-1.229165,-0.109723,2.385120,1.405826
5404.047000000,0.392926,1.068328,-0.045376,-1.229285,0.009452,2.385167,1.460236
5404.062000000,0.392768,1.068164,-0.045551,-1.229189,-0.119332,2.385146,1.407270
5404.081000000,0.392926,1.068331,-0.045376,-1.229288,0.009453,2.385167,1.460233
5404.097000000,0.392697,1.068166,-0.045464,-1.229141,-0.130218,2.385107,1.411970
5404.114000000,0.392924,1.068328,-0.045371,-1.229280,0.009449,2.385167,1.460240
5404.131000000,0.392675,1.068156,-0.045437,-1.229137,-0.140582,2.385098,1.414939
5404.147000000,0.392926,1.068326,-0.045376,-1.229280,0.009452,2.385166,1.460240
5404.166000000,0.392756,1.068159,-0.045542,-1.229160,-0.150672,2.385126,1.416000
5404.181000000,0.392926,1.068330,-0.045376,-1.229283,0.009450,2.385166,1.460233
5404.201000000,0.392676,1.068140,-0.045447,-1.229134,-0.162102,2.385087,1.420093
5404.213000000,0.392924,1.068325,-0.045368,-1.229283,0.009452,2.385170,1.460242
5404.236000000,0.393737,1.068668,-0.045307,-1.229530,-0.113222,2.385344,1.436557
5404.247000000,0.392924,1.068325,-0.045373,-1.229283,0.009452,2.385167,1.460233
5404.270000000,0.393917,1.068820,-0.045001,-1.229537,-0.077422,2.385210,1.461487
5404.282000000,0.392924,1.068328,-0.045373,-1.229285,0.009448,2.385164,1.460239
5404.304000000,0.393706,1.068715,-0.045036,-1.229448,-0.055997,2.385150,1.481154
5404.316000000,0.392926,1.068323,-0.045373,-1.229285,0.009453,2.385166,1.460239
5404.338000000,0.393328,1.068505,-0.045173,-1.229356,-0.042668,2.385126,1.496176
5404.349000000,0.392926,1.068328,-0.045376,-1.229283,0.009454,2.385168,1.460236
5404.373000000,0.392878,1.068311,-0.045265,-1.229214,-0.035445,2.385086,1.510320
5404.382000000,0.392924,1.068325,-0.045376,-1.229285,0.009448,2.385169,1.460244
5404.407000000,0.392610,1.068167,-0.045407,-1.229165,-0.030592,2.385112,1.520019
5404.417000000,0.392924,1.068331,-0.045376,-1.229283,0.009448,2.385167,1.460234
5404.441000000,0.392466,1.068088,-0.045508,-1.229147,-0.027449,2.385122,1.527792
5404.451000000,0.392921,1.068328,-0.045376,-1.229280,0.009453,2.385167,1.460239
5404.474000000,0.392499,1.068072,-0.045646,-1.229181,-0.024982,2.385165,1.532023
5404.485000000,0.392924,1.068326,-0.045376,-1.229283,0.009454,2.385170,1.460237
5404.508000000,0.392531,1.068112,-0.045646,-1.229181,-0.023744,2.385171,1.537181
5404.518000000,0.392926,1.068328,-0.045371,-1.229283,0.009451,2.385168,1.460232
5404.542000000,0.392597,1.068152,-0.045600,-1.229212,-0.023031,2.385181,1.541271
5404.550000000,0.392924,1.068328,-0.045376,-1.229288,0.009448,2.385166,1.460240
